id,label,reason,retried
T001,externally-directed,이 고시는 디지털교과서의 국정·검정 구분을 정하여 교과서를 편찬·검정 신청하는 발행사(출판사) 등 외부 민간 주체에게 적용되는 기준을 설정하므로 외부지향적이다.,False
T002,internal,"이 훈령은 교육부 내 기획단의 설치, 구성, 파견·협조 요청 등 행정조직 내부의 업무 수행 절차만을 규정하며, 민간 주체나 개인의 법적 지위에 대한 요건·제재·급부를 정하지 않는다.",False
T003,externally-directed,"이 고시는 교육비특별회계로 설립한 출연기관(재단법인 전남교육 꿈실현재단)의 지정 변경을 다루고 있어, 행정조직 외부의 법인을 대상으로 한 지정행위이므로 외부지향적이다.",False
T004,externally-directed,"This notice sets eligibility criteria and benefit levels for education aid recipients (students/households), directly determining entitlements for external individuals.",False
T005,externally-directed,이 고시는 유아교육에 대해 국가·지자체가 부담하는 지원 연령과 금액을 정하여 유아 및 그 보호자 등 외부 수혜자에 대한 지원 기준(수급 요건)을 설정하고 있다.,False
T008,externally-directed,"이 고시는 어린이집·유치원 등 각 기관과 교사에게 적용되는 교육과정 편성·운영, 교수·학습, 평가 기준을 직접 규정하여 외부 교육기관과 개별 교사의 실무를 구속한다.",False
T009,externally-directed,"이 지침은 교과용도서의 정가(가격)를 산정하는 기준으로서, 그 적용 대상은 교과서를 발행·판매하는 발행자(사업자)이며 재료비·인쇄비·제책비 등 가격 구성요소를 정함으로써 외부 민간 발행사의 법적·경제적 지위(도서 가격 책정)에 직접 영향을 미친다.",False
T010,externally-directed,"이 예규는 개별 교원의 연수학점 인정, 학위·자격 학점화 기준 등 교원 개인의 인사·경력상 지위에 직접 영향을 미치는 사항을 규정하고 있어 외부(개인) 지향적이다.",False
T011,externally-directed,"This rule sets conditions and procedures for individual teachers to apply for and receive honorary retirement allowance, directly affecting their personal legal/financial position.",False
T013,internal,"이 훈령은 교육부·시도교육청 등 교육행정기관 상호간 공문서 관리, 지침 게시·사후관리 절차만을 규율하며 사립학교, 개인 등 외부 주체에 대한 의무·기준·제재·수혜를 규정하지 않는다.",False
T014,externally-directed,"이 규정은 기업, 공공연구기관, 대학 등 민간·외부기관을 대상으로 교육기부 우수기관 인증기준과 심사절차를 설정하여 인증을 부여하는 내용으로, 행정조직 외부의 기관에 대한 인증 요건과 지위를 규율하고 있다.",False
T015,internal,"이 규정은 교육데이터전략위원회의 설치·구성·운영 절차를 정한 것으로, 위원 위촉·회의 운영·간사·수당 등 행정 내부 조직 운영에 관한 사항만을 규율하며 외부 민간 주체나 개인의 법적 지위에 대한 권리·의무를 설정하지 않는다.",False
T016,externally-directed,"The rule appoints, sets terms, obligations (confidentiality), dismissal grounds, and allowances for private citizens (youth committee members aged 19-39) who are not part of the administration, thus governing individuals' legal position as external actors.",False
T017,internal,"이 규정은 교육부 내부의 갈등관리심의위원회 구성·운영, 갈등영향분석 절차, 소속 공무원에 대한 포상·수당 등 행정조직 내부 업무처리 절차만을 규정하고 있어 외부 민간 행위자를 구속하거나 개인의 법적 지위(신분·보수·의무)를 규율하지 않는다.",False
T018,externally-directed,"감사규정은 자체감사를 받는 개인(공무원 등)에 대한 재심의 신청, 적극행정면책 신청 등 개인의 법적 지위에 영향을 미치는 조항을 포함하고 있어 외부(개인) 지향적이다.",True
T019,undecidable,,True
T021,externally-directed,정보주체(국민 개인)가 자신의 개인정보에 대해 열람·정정·삭제·처리정지·동의철회를 요구할 수 있는 서식과 절차를 규정하여 외부 개인의 법적 지위에 관한 권리행사 방법을 정하고 있다.,False
T022,internal,"This rule only organizes the composition, operation, and internal procedures of the Ministry of Education's own contract deliberation committee, without imposing obligations or standards on external private actors.",False
