id,파일럿,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명,L1_위임인가,L2_위임된법형식,L3_확신도,L4_메모,L2_병존형식
G0001,Y,학교시설사업 촉진법,4,학교시설사업 시행계획의 승인 등,대통령령으로 정하는 경미한 사항을,대통령령,시행령,대통령령,법령,학교시설사업 촉진법 시행령,위임,대통령령,4,절단이나 '대통령령으로 정하는 경미한 사항' 부분위임 문형 완결.,
G0002,Y,교육환경 보호에 관한 법률,6,교육환경평가서의 승인 등,또는 대통령령으로,대통령령,시행령,대통령령,법령,교육환경 보호에 관한 법률 시행령,판단불가,,2,'또는 대통령령으로'에서 절단 — 위임 동사·규율대상 미확인. 위임 개연성은 높으나 문장 단위 판정 원칙상 확정 불가.,
G0003,Y,대학교원 자격기준 등에 관한 규정,4,연구실적의 환산율,"교육부장관이 정하는 기준에 적합한 산업체, 기관 또는 시설에서 전공학과 및 그에 관련되는 학과의 학문분야에",교육부장관이 정하는,위임행정규칙,미특정,행정규칙,대학교원 자격기준 등에 관한 규정 제4조에 따른 연구기관 등의 지정에 관한 고시 ,위임,미특정,5,'교육부장관이 정하는 기준' — 형식 무지정 위임(자동추출 일치).,
G0004,Y,지방교육자치에 관한 법률,32,교육기관의 설치,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,조례로,위임자치법규,대통령령,자치법규,인천광역시교육청 행정기구 설치 조례,위임,조례,4,"문언은 '대통령령 또는 조례' 복수 형식 위임 — 표본 축(표지어구·API 자치법규) 기준 조례 기재, 대통령령 병존. 자동추출(대통령령)은 병존 형식 중 다른 축만 포착.",대통령령
G0005,Y,취업 후 학자금 상환 특별법 시행령,20,종합소득이 있는 채무자의 대출원리금 상환 등,3. 그 밖에 의무상환액의 납부에 필요한 사항으로서 교육부장관이 정하는 사항,교육부장관이 정하는,위임행정규칙,미특정,행정규칙,취업 후 학자금 상환 사무처리규정,위임,미특정,5,,
G0006,Y,평생교육법 시행령,77,권한의 위임ㆍ위탁,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,조례로,위임자치법규,조례,자치법규,전북특별자치도교육감 행정권한위임에 관한 조례,위임,조례,5,권한의 행정위임 구조이나 그 요건·방식의 규율을 조례에 맡기는 문언('조례로 정하는 바에 따라').,
G0007,Y,고등교육법,32,학생의 정원,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0008,Y,초ㆍ중등교육법 시행령,59,의견 수렴 등,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",공립학교의 경우에는 시.도의 조례로,위임자치법규,조례,자치법규,경상남도립학교 운영위원회 운영 조례,위임,조례,4,국립=학칙/공립=조례 병렬 위임 — 표본 축 기준 조례 기재. 학칙은 값 목록 외 형식(병존 기록).,학칙
G0009,Y,학교용지 확보 등에 관한 특례법,5,학교용지부담금특별회계의 설치,5. 그 밖에 학교용지의 확보 등에 필요하거나 부담금을 적정하게 관리하기 위하여 필요한 사항으로 해당 시·도의 조례로 정하는 사항,조례로 정하는 사항,위임자치법규,조례,자치법규,울산광역시 학교용지부담금 등에 관한 조례,위임,조례,5,,
G0010,Y,취업 후 학자금 상환 특별법,17,대출원리금 계산,생활비 대출원리금의 계산방법은 교육부장관이 정하여 고시한다.,교육부장관이 정하여 고시한다,위임행정규칙,고시,행정규칙,2026학년도 1학기 취업 후 상환 학자금대출의 자격 요건 등에 관한 고시,위임,고시,5,,
G0011,Y,초ㆍ중등교육법 시행규칙,77,자율형 사립고등학교의 법인전입금기준,"2. 도 및 특별자치도에 있는 고등학교: 매년 학생으로부터 받은 수업료 및 입학금 총액의 3퍼센트 이상으로 하되, 구체적인 기준은 해당 도 및 특별자치도의 교육규칙으로 정할 것",특별자치도의 교육규칙으로,위임자치법규,조례,자치법규,강원특별자치도교육청 자율학교등 지정ㆍ운영에 관한 규칙,위임,교육규칙,4,문언이 요구하는 형식은 '교육규칙'(교육감 제정 자치법규) — L2 값 목록 부재로 목록 외 값 기재. '조례'로 강제 매핑하면 자동추출의 자치법규 하위형식 혼동이 은폐됨.,
G0012,Y,교육공무원법,36,명예퇴직,사항은 대통령령으로,대통령령,시행령,대통령령,법령,국가공무원 명예퇴직수당 등 지급 규정,위임,대통령령,4,절단이나 '사항은 대통령령으로 [정한다]' 문형.,
