id,label,reason,retried
T001,externally-directed,"The text classifies school textbooks (national vs. reviewed) for elementary, middle, and high schools, which directs external actors (schools, publishers, textbook providers) about applicable categories—an operative rule affecting entities outside the issuing administration.",False
T002,internal,"규정은 교육부 내에 준비기획단을 설치·운영하고 소속 공무원과 관계 기관의 협조·파견 절차 등을 정하는 내부 조직운영 규정으로, 외부의 개인·민간 기관에 대한 법적 의무·기준·제재·수혜 조건을 규정하지 않습니다.",True
T003,externally-directed,본문은 특정 외부 법인(재단법인 전남교육 꿈실현재단)을 출연기관으로 지정하고 있어 외부 기관의 지위에 관해 규정하므로 외부 행위자를 직접 대상으로 한다.,False
T004,externally-directed,"본 고시는 교육급여의 선정기준 및 수급대상(가구 소득 기준, 지급 항목 등)을 규정하여 개인·가구(수급 신청자) 등 행정기관 외부 행위자들의 권리·의무(수급 자격·급여)를 직접 규율하므로 외부지향적이다.",False
T005,externally-directed,"본문은 국가·지방자치단체가 초등학교 취학 전 유아교육 비용을 부담하는 '지원기준 연령 및 금액'을 정하고 있어 외부 수혜자(유아, 부모, 교육기관 등)에 대한 권리·의무·혜택을 규정함.",False
T008,externally-directed,이 고시는 3~5세 누리과정의 운영·편성·교수학습·평가 기준 등을 규정하여 어린이집·유치원 등 교육기관과 교사 등 외부 행위자에게 적용되는 요구사항을 직접 제시하고 있으므로 외부 지향적이다.,False
T009,externally-directed,"규칙 본문은 교과용 도서의 가격 사정 방법과 재료비·인쇄·제작비 산출 기준을 구체적으로 규정하여 발행사, 인쇄업체 등 행정기관 외의 민간 주체들에게 적용되는 요건과 기준을 설정하고 있으므로 외부지향적이다.",False
T010,externally-directed,"규칙은 교원 연수의 학점화 대상·방법, 대학원 학위·자격증의 학점 인정 기준과 임용권자의 승진후보자명부 작성 시의 학점화 의무 등 교원(개인)과 교육기관 등에 직접적인 권리·의무와 기준을 부과하므로 외부지향적이다.",False
T011,externally-directed,훈령 본문이 교육공무원(지방자치단체 예산으로 보수를 받는 자)에게 수당 지급신청·자격·절차·지급방법 등을 규정하여 행정 외부의 개인(교원 등)에게 권리·의무와 절차를 직접 부과하고 있다.,False
T013,externally-directed,"규정 본문은 시·도교육청 및 단위학교, 하급교육행정기관 등 외부 기관(각급 학교 포함)에 문서 게시·관리 의무와 이행·통보 책임을 부과하고 있어 행정조직 외부 행위자에게 구속력을 갖는다.",False
T014,externally-directed,규정은 기업·공공연구기관·대학 등 민간 기관의 인증 기준·심사·인증마크 부여 등 외부 기관의 권리·의무와 절차를 직접 규정하므로 외부 주체에 대한 규제·지시를 포함함.,False
T015,internal,"규정은 교육데이터전략위원회의 설치·구성·운영 등 행정기관 내부의 조직·절차를 정하고 있으며, 외부 민간기관·개인에게 직접적인 의무·기준·제재·권리(예: 사업자 의무, 개인의 법적 지위·급여·처분)를 부과하지 않는다.",False
T016,externally-directed,"규정은 단원(청년) 위촉·임기·해촉, 비밀누설 금지, 수당 지급 등 개인(외부 청년)을 직접 대상으로 하는 권리·의무 규정을 포함하고 있어 외부 행위자를 규율합니다.",False
T017,internal,"규정은 교육부 내부의 갈등관리 제도(위원회 구성·운영, 부서의 갈등영향분석 작성·협조, 위원 보수·표창 등)를 정하여 행정기관 내부 절차와 조직 운영을 규율하고 있어 주된 적용대상이 교육부와 그 소관 부서 및 위원회 구성원 등 내부 행정주체에 한정되므로 'internal'로 분류됩니다.",False
T018,internal,"문서 내용은 교육부 내부의 감사 절차와 신청·검토 양식(재심의 신청서, 적극행정면책 신청서·검토서 등)으로 기관 내부 업무 처리와 내부 면책·재심의 절차를 규정하고 있어 외부 행위자에게 법적 의무·권리·제재를 부과하지 않습니다.",False
T019,internal,"본문은 교육부 소속 감사담당 공무원들의 행동기준·절차·직무수행·보고·보안·교육 등 내부 조직 운용과 공무원 개인의 직무 준수에 관한 규정으로, 주된 수범자는 행정조직 소속 감사공무원 및 감사단장 등 내부 구성원으로 외부 기관이나 일반 국민에게 직접적인 법적 의무·권리·제재를 부과하지 않는다.",False
T021,externally-directed,"The rule sets retention periods for personal data and provides forms and procedures that impose requirements on external data subjects and organizations holding personal information (e.g., how long private or public entity-held 개인정보파일 must be retained and how individuals may request 열람/정정/삭제), thus directing actors outside the issuing administration.",False
T022,externally-directed,"훈령은 계약심의위원회의 구성·운영, 외부위원의 위촉·임기·해촉, 계약 관계부서의 개최요구·자료제출 및 심의결과 반영 의무 등 교육부 외부의 부서·위원(외부전문가) 및 계약 관계부서에 직접적인 권리·의무를 규정하고 있어 외부 대상을 규율함.",False
T023,externally-directed,규정은 고문변호사 및 소송대리인으로서의 개인 변호사들에 대한 위촉·자격·금지행위·해촉·보수·공개 등의 요건과 절차를 직접 정하고 있어 행정기관 외부의 개인(변호사)들에게 법적 지위·의무·자격요건 등을 부과한다.,False
T024,externally-directed,"규정 본문은 ‘운영기관’, ‘부서별 책임자’, 그리고 공공데이터를 생성·관리하는 기관들이 지켜야 할 의무(데이터 표준 적용, 품질관리 계획 수립·이행, 통보 등)를 직접 규정하여 교육부 외의 기관 및 이들 기관의 담당자들에게 요구사항을 부과하므로 외부 지향적이다.",False
T025,externally-directed,"지침 본문과 별지 서식들이 민간 제공자(개인·기관)와의 저작권 양도·이용허락, 면책·보증·경고 등을 직접 규정하여 행정기관 밖의 개인·단체에 권리·의무를 부과하므로 외부지향적이다.",False
T026,externally-directed,"규정 본문이 공무원(출장자)의 출장 요건·심사기준, 출장신청서 양식과 경비 부담·금지행위 등을 규정하여 행정기관 외의 개인(공무원)과 기관의 행위·권리·의무를 직접적으로 규율하고 있으므로 외부지향적이다.",False
T027,externally-directed,"The directive requires education ministry agencies and their officials to report and file criminal complaints against (former) public servants, prescribes procedures and criteria affecting individual public servants' duties and disciplinary measures, and directs universities and public institutions to adopt related sub-guidelines, thus imposing obligations on persons and external entities.",False
T028,externally-directed,"본문은 공무원의 외부강의 사례금 한도, 금품 수수 금지에 따른 징계기준, 행동강령 위반시 조치 등 공무원 개인의 의무·처분·징계 및 외부행위(강의, 금전거래 등)에 대한 규제를 직접 규정하므로 외부 행위자 및 공무원 개인에게 적용되는 외부지향적 규칙이다.",False
T029,externally-directed,"The guideline sets procedures and forms for public-interest reports and for protecting reporters, including information collection about reporters and alleged wrongdoers and mentions reporting to other agencies—these operative provisions directly affect external persons (reporters, alleged wrongdoers) and thereby bind or entitle actors outside the issuing administration.",False
T030,externally-directed,"The rule prescribes disciplinary sanctions and reporting/recusal obligations for 공직자 (public servants) and sets standards and forms for outside-related actors (사적이해관계자), thereby imposing requirements and penalties affecting individuals outside the issuing administration.",False
T031,externally-directed,"규칙 본문이 주관부처·협력부처, 관계기관, 전문기관, 참여부처 등 외부의 중앙행정기관과 관련 기관·전문가들의 의무적 협력·준수(예: 협조·서약서 제출, 사업 우선 반영, 지원·협의 등)를 직접 규정하고 있어 행정기관 외부 행위자들에게 작용하는 규정이 포함되어 있음.",False
T032,externally-directed,"규정 본문은 보조사업비 카드 사용제한 업종, 내역사업의 분류·명칭·관리 기준 등 보조금 수혜자 및 사업 수행 주체(지자체·기관·기업·개인 등)에 적용되는 요건·제한·절차를 직접 규정하므로 외부 지향적이다.",False
T033,externally-directed,"규정 본문이 국민 및 공무원이 제출하는 제안의 접수·심사·채택·포상 등 절차와 포상금·특전(예: 장관표창, 금액 범위, 특별승급 등)을 직접 규정하여 외부의 국민 및 개별 공무원에게 권리·의무 및 혜택을 부여·제한하고 있으므로 외부지향적이다.",False
T034,externally-directed,"지침은 시행기관(예: 사업수행기관, 외부전문기관, 평가용역기관 등)과 협력대상국·NGO·수원국 관계자 등 행정조직 밖의 개인·기관에 대해 평가 계획 수립·제출, 외부평가 위탁·보고·공개 등 의무와 절차를 규정하므로 대외적 행위주체들에게 직접적 구속력을 부여함.",False
T035,externally-directed,"규정은 민간위원 위촉요건, 이해관계인 출석·의견진술 요구, 자료제출 의무, 수당지급 기준 등으로 외부 민간인 및 관련 기관에 대한 권리·의무를 직접 부과하므로 외부 지향적이다.",False
T036,externally-directed,"규정의 내용은 관할 공공기관, 처리과장, 대출자 등 교육부 소속 기관 및 개인(공무원 등)의 기록물 관리·이관·대출·변상 의무와 설치·운영 기준(예: 소속기록관 설치 기준, 대출기간·대출절차 등)을 직접 규정하여 행정조직 외부의 기관과 개인에게 권리·의무를 부과하고 있으므로 외부지향적이다.",False
T037,externally-directed,"규칙은 물품·용역계약의 기술성 평가 절차·기준·평가위원 구성·평가방법·수당지급 등을 규정하여 계약당사자(입찰업체), 평가위원 등 행정기관 외부의 개인·기관에 직·간접적인 권리·의무를 부과하므로 외부지향적이다.",False
T038,internal,"본 규칙은 문서 전반에 걸쳐 기관명(교육부→교육인적자원부)과 내부 부서·직제명 변경, 위원회 명칭·운영 규정 개정 및 일부 위원회 폐지를 지시하는 등 행정기관 내부 조직·명칭·운영에 관한 사항을 다루고 있어 외부 행위자에 대한 요건·기준·제재·권리 등을 새로 부과하지 않음.",False
T039,externally-directed,규칙 본문이 교육부(교육인적자원부) 장관의 명칭 변경과 관련해 학교·교원·학교법인·공익법인 등 외부 행위자에게 적용되는 규정들을 직접 수정하고 있어 외부 행위자들을 구속·지정하는 조항을 포함합니다.,False
T040,internal,"규정의 내용은 교육부 내부의 민원 접수·처리 절차, 부서별 역할·교육·징계기준 등 교육부 소속 기관과 직원들의 업무운영을 규정하고 있어 외부 행위자에게 직접적인 의무·권리·제재를 부과하지 않는다.",False
T041,externally-directed,문서 본문이 외국인 접촉 신고서·보고서 등의 작성 및 제출을 규정하여 행정기관 직원(및 외부 관계자)의 행위와 의무를 직접 규정하므로 외부 행위자들에게 구체적 요구를 부과함.,False
T042,internal,훈령의 조문들은 교육부 내부의 법제업무 처리절차와 부서 간 역할·협의·보고·심사·입법계획 수립 등 행정조직의 운영을 규정하고 있어 외부 행위자에게 직접적인 권리·의무·제재를 부과하지 않는다.,False
T043,externally-directed,문서에 비밀·암호자재 취급 인가 요청서·인가증·인가대장 등 개인의 인가·등급·발급·해제 등 절차와 인적사항을 규정하여 행정기관 소속 개인(인가대상자)에게 권리·의무를 부과하므로 외부(개인) 대상 지시성이 있다.,False
T044,externally-directed,"The rule prescribes procedures and obligations for handling reports, receipt/return/disposal of gifts, notifications to prosecutors/courts, and cost claims that affect individuals outside the administration (reporters, gift-givers, accused persons), thus directing external actors.",False
T045,externally-directed,규정은 부패행위 신고자에 대한 포상·보상금 지급기준과 신고서식·신청절차 등을 규정하여 교육부 외부의 개인(신고자) 및 처분 대상자 등 외부 행위자에게 권리·의무·금전적 지급기준을 직접 정하고 있으므로 외부지향적이다.,False
T046,externally-directed,"규정은 각급학교·교육부 소관 공공기관 등 '교육·행정 기관' 및 보안관제 대상기관의 권리·의무(보안관제 준수, 자료제출, 예산분담 등)를 직접 규정하여 행정 외부의 기관 및 기관장들에게 요구하고 있으므로 외부지향적이다.",False
T047,externally-directed,"규정 본문이 사업 신청·선정, 주관기관·참여기관의 권한·책임, 사업비 산정·관리, 평가·환수 및 제재절차 등 외부 기관(대학, 주관기관·참여기관 등)에 대해 구체적 요구·의무와 절차를 직접 규정하고 있어 외부 행위자에게 구속력을 가진다.",False
T048,externally-directed,"지침의 적용범위·의무(제2조, 제4조 등)이 교육부 및 그 소속기관의 직원들(개별 공무원)을 직접 대상으로 하고 고충상담창구 설치·운영, 교육·조치 의무 등으로 외부 행위자(개인 직원)의 법적 행위·의무를 규정하므로 외부지향적이다.",False
T049,externally-directed,"규정 본문은 시·도교육감, 국립대학교총장, 소속기관장 등 교육부 외부의 기관 및 개인(재산관리관·분임재산관리관 등)에 대한 권한·의무, 재산의 관리·처분·사용허가·징수·제재 등 외부 행위자를 직접 규율하고 있어 외부 지향적이다.",False
T050,externally-directed,"훈령은 교육부 소관 기타공공기관(외부 기관)에 대한 평가 기준, 제출기한, 자료제출·출석 요구, 인사조치(해임 건의 등) 및 지원·처분 등을 규정하여 외부 행위자에게 직접적으로 권리·의무 및 제재를 부과하고 있으므로 외부 지향적이다.",False
T051,externally-directed,지침 본문은 침해사고 대응·예방·보고·복구 등 구체적 절차와 고려사항을 제시하여 교육부 소관 기관·시설의 운영자(외부 기관 또는 기관 소속 개인실무자 등)에 대한 의무적 준수 기준으로 작용하므로 외부 대상자를 규정·지시하고 있다.,False
T053,internal,규정은 교육부 소관 회계직공무원의 관직지정·임면 위임 등 내부 인사·조직 운용 절차를 규정하며 외부 민간 주체에게 직접 의무·권리·제재를 부과하지 않음.,False
T054,externally-directed,규정은 교육부 시민감사관의 위촉·임기·자격·자료제출 요청권 등 외부 전문가(시민감사관)와 교육기관 등 외부 대상에 대한 권한과 의무를 직접 규정하고 있어 행정조직 외부의 행위자들에게 요구·권한을 부과한다.,False
T055,internal,규정은 교육부 소속 심의위원회의 설치·구성·운영 및 내부 절차(위원 위촉·임기·제척·해촉·회의·간사·수당 등)를 규정하여 행정기관 자체의 조직·운영을 정하고 있으므로 내부지향적이다.,False
T056,externally-directed,"규정은 외부전문가 위촉, 외부위원 수당 지급, 소속기관(대학 등)에 대한 분임심의회 설치 의무(설치할 수 있음/해야 함) 등 행정기관 밖 개인·기관에 대한 자격·운영·의무를 직접 규정하므로 외부지향적이다.",False
T057,externally-directed,규정 본문은 교육부와 그 소속기관에 근무하는 공무직근로자의 채용·근로조건·징계(해고·정직·감봉 등) 등 개인의 법적 지위와 의무·처분을 직접 규정하므로 외부(개인 공무직근로자)에 대한 지시로 판단됩니다.,False
T058,externally-directed,규정은 회계관계공무원(개인)과 교육부 소속기관 외부 보험회사 및 국립학교 등 특정 외부 주체들에게 재정보증 설정·보험가입·보험료 납부·변상 등 의무와 절차를 직접 규정하므로 외부 지향적이다.,False
T060,externally-directed,규정은 교육부와 그 소속기관 공무원의 인사관리(경력인정 환산율 등)를 정하여 개별 공무원의 신분·승진·인사상 처우에 직접 영향을 미치므로 외부(개별 공무원 등의 법적 지위)로 향하는 규범적 효력을 가진다.,False
T061,internal,"지침의 대상기관을 '교육부 및 소속기관'으로 명시하고 일상감사 수행절차, 서식 등을 규정하여 행정기관 내부 업무 운영을 정하고 있으므로 내부지향적 규칙입니다.",False
T062,internal,"규정은 교육부 내부의 자체평가위원회 구성·운영, 부서 간 협조, 위원 임명·보안·수당 지급 등 교육부 조직의 내부 절차와 업무 운영을 규정하고 있어 외부 행위자에게 직접적인 법적 의무·권리·제재를 부과하지 않는다.",False
T063,externally-directed,"The rule sets hiring, working conditions, performance evaluation and retirement procedures that apply to non-officer workers at national schools (external actors such as employees of those schools), thus imposing requirements and standards on persons outside the issuing administration.",False
T064,externally-directed,"Forms and procedures explicitly provide support, conditions, and sanctions for individual public servants (applications for legal-defense support, requirements, cancellation/recoupment and other disbenefits), thus imposing entitlements/obligations on persons outside the issuing administration as individuals.",False
T066,internal,"규정은 교육부의 정보공개 업무 처리와 비공개 대상 정보를 내부적으로 분류·운영하는 절차와 기준을 규정하고 있어 주로 기관 내부 업무 관리에 관한 내용으로, 외부 행위자에게 직접적인 의무·권리·제재를 부과하지 않습니다.",False
T067,externally-directed,"지침 본문이 각급기관이 수행해야 할 정보보안 관련 기본업무와 특정 제품의 도입요건·인증·검증 기준(예: ‘안전성 검증필 제품 목록’의 등재요건, 암호모듈 탑재 조건 등)을 규정하여 기관 외부의 제품 제조업체·공급자 및 이를 도입·운영하는 조직(외부 행위자)에 실질적 의무와 기준을 부과하고 있으므로 외부지향적이다.",False
