id,조문문장,T5_L1,T5_L2,T5_확신도,T5_근거
P00001,대통령령으로 정하는,위임,대통령령,4,문장이 '대통령령으로 정하는'으로 끝나며 규율권한을 대통령령에 넘기는 부분 위임의 전형적 표현이므로 위임으로 판단함.
P00002,대통령령으로 정하는,판단불가,대통령령,4,문장이 불완전하게 잘려 있어 위임인지 인용인지 문맥상 판단 불가하나 표지어구가 '대통령령'으로 명시되어 있어 법형식은 대통령령으로 표기함.
P00003,대통령령으로 정하는,판단불가,대통령령,3,"문장이 '대통령령으로 정하는'으로 문단 일부만 제시되어 있어 위임인지 인용인지 문맥 부족으로 판정 불가하나, 명시적 법형식 표현은 대통령령임."
P00004,대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는'으로 끝나며 규율권한을 대통령령에 넘기는 전형적 위임 표현이다.
P00005,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라고 규율권한을 하위 규범(대통령령)에 넘기고 있어 명백한 포괄위임이다.
P00006,대통령령으로 정한다,위임,대통령령,5,종결형 단문 '대통령령으로 정한다'로 규율권한을 대통령령에 위임한다.
P00007,대통령령으로 정한다,위임,대통령령,5,종결형 단문 '대통령령으로 정한다'로 규율권한을 하위법인 대통령령에 넘긴다.
P00008,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 규율권한을 대통령령에 넘기고 있어 위임으로 판단된다.
P00009,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라 하여 규율권한을 하위 규범(대통령령)으로 넘긴다.
P00010,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 규율권한을 하위 규범인 대통령령에 넘기고 있어 위임 규정이다.
P00011,대통령령으로 정하는,판단불가,대통령령,3,문장이 '대통령령으로 정하는'으로 불완전하게 끊겨 있어 위임인지 인용인지 문맥 없이 확정 불가하지만 표지어구로 대통령령을 지목하고 있으므로 L2는 대통령령로 표기함.
P00012,대통령령으로 정하는 비율의,위임,대통령령,3,문장이 '대통령령으로 정하는 비율의'로 규율권한(비율의 범위 등)을 대통령령에 맡기는 표현이므로 위임으로 판단함. 다만 문장이 불완전하여 정확성에 다소 불확실성이 있음.
P00013,대통령령으로 정하는 인력의 양성과,위임,대통령령,4,"문장이 '대통령령으로 정하는 ○○' 형태로 일부 요건을 대통령령에 맡기는 위임 표현이며, 문말 불완전하지만 표지어구에 대통령령이 명시되어 있어 규율권한을 넘긴다."
P00014,내국인의 수는 대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는' 형태로 규율 권한을 대통령령에 넘기고 있어 전형적 위임 규정이다.
P00015,대통령령으로 정하는,위임,대통령령,3,문장이 불완전한 단편이지만 '대통령령으로 정하는'은 통상 하위법령에 규율권한을 넘기는 표현이므로 위임으로 판정함.
P00016,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 규율권한을 상위법에서 대통령령에 위임한다.
P00017,교육부장관이 정하는 회계기준 등에 따라 처리한다.,위임,미특정,5,"문장이 종결형으로 '교육부장관이 정하는 회계기준 등에 따라 처리한다'라고 하여 규율사항의 일부 또는 전부를 하위규범(교육부장관이 정하는 기준)에 맡기므로 위임이며, 법형식은 '교육부장관이 정하는'으로 특정 법형식을 명시하지 않아 미특정이다."
P00018,대통령령으로 정하는 바에 따라 외국교육기관의 신청을,위임,대통령령,5,문장이 '대통령령으로 정하는 바에 따라'로 끝나며 규율권한을 대통령령에 넘겨 구체사항을 정하도록 한다.
P00019,대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는' 형태로 규율사항을 상위법에서 대통령령에 위임하는 표현이므로 위임으로 판단됨.
