id,L1_위임인가,L2_위임된법형식,L3_확신도,L4_메모
G0001,위임,대통령령,4,절단 단편이나 '대통령령으로 정하는 ○○' 표지로 부분위임 판정(절단 규칙).
G0011,위임,교육규칙,5,"문언은 교육규칙(교육감 제정, 지방교육자치법 §25). H열 자동값 '조례'는 오추출."
G0017,위임,조례,5,
G0019,위임,부령,5,절단 단편이나 종결형 '정한다'로 위임 명확. 교육부령→부령.
G0022,위임,조례,4,정의조항 각 목이라 정의 원용(인용)으로 볼 여지 있으나 '조례로 정하는'이 규율대상 범위를 지시하므로 부분위임.
G0025,위임,교육규칙,5,문언은 시·도 교육규칙. H열 자동값 '조례'는 오추출.
G0028,위임,교육규칙,5,문언은 시·도 교육규칙. H열 자동값 '조례'는 오추출.
G0031,위임,대통령령,5,
G0039,위임,대통령령,5,
G0041,위임,조례,5,단서의 '조례에 따라 정해진'은 인용이나 본문이 조례 위임이므로 문장 전체는 위임.
G0042,위임,대통령령,4,절단 단편. '필요한 사항은 대통령령으로' 표지로 판정(절단 규칙).
G0048,위임,미특정|교육규칙,3,"전단은 준용(인용), 후단은 이중 위임인 혼합문. 준용을 주된 규율로 보면 인용으로 갈릴 수 있음. '교육부장관이 정하고'는 법형식 미지정 → 미특정."
G0049,위임,미특정|조례,4,"'교육부장관이 정하고'는 법형식을 지정하지 않아 미특정, 후단 조례와 병기."
G0050,위임,대통령령,4,"절단 단편, '대통령령으로 정하는' 부분위임(절단 규칙)."
G0053,위임,조례,5,
G0055,위임,대통령령,5,
G0062,위임,미특정|조례,4,G0049·G0121과 동일 문장. '교육부장관이 정하고'→미특정.
G0065,위임,조례,4,"주된 규율이 보조금 교부 권한 부여여서 개별 처분(인용)으로 볼 여지 있으나, '조례로 정하는 바에 따라'가 지원 기준을 조례에 넘기므로 부분위임."
G0067,위임,조례,4,G0022와 동일 문장. 정의조항 내 부분위임.
G0070,위임,조례,3,'대통령령으로 정한'은 완료형이므로 기존 대통령령 원용(예시 2 규칙) → L2에서 제외. 다만 예시 3('정하는 범위에서')과 구조가 유사해 대통령령|조례로 갈릴 소지가 큼.
G0072,위임,조례,5,
G0076,위임,대통령령,4,"절단 단편, '대통령령으로 정하는 사항' 부분위임(절단 규칙)."
G0077,위임,조례,5,
G0078,위임,조례,5,G0072와 동일 문장.
G0081,위임,조례,5,
G0085,위임,조례,4,요건 열거 항목 내 '조례로 정하는 기준'. 요건 원용(인용)으로 볼 여지 있으나 기준 설정권을 조례에 넘기므로 부분위임.
G0090,위임,대통령령,5,
G0095,위임,미특정,4,'교육부장관이 정하는 수수료' — 법형식 미지정. 실제로는 지침으로 정해지나 문언 기준으로 미특정(본 연구 핵심 회색지대).
G0096,위임,대통령령,4,절단 단편(절단 규칙).
G0097,위임,조례,5,
G0101,위임,교육규칙,4,'제1항 및 제3항에 따르되'는 인용이고 교육규칙 위임은 단서적 부분위임이어서 인용으로 갈릴 여지 있음. H열 자동값 '조례'는 오추출.
G0105,위임,부령,5,G0019와 동일 문장.
G0106,위임,조례,3,각 호 단독 절단이라 술어가 없고 '해당 시·도의 조례'라는 명사구만 남음. 절단 규칙으로 위임 처리했으나 판단불가로 갈릴 소지 있음.
G0108,위임,조례,5,G0053과 동일 문장.
G0112,인용,해당없음,5,완료형 '정한 급식기준'은 제33조에 따라 이미 존재하는 교육부령을 원용 — 예시 2와 동형. H열 자동값 '부령'은 위임으로 오분류한 결과.
G0119,위임,조례,5,
G0120,위임,조례,5,
G0121,위임,미특정|조례,4,G0049·G0062와 동일 문장.
G0122,위임,부령,4,절단 단편(절단 규칙). 교육부령→부령.
G0126,위임,부령,4,절단 단편(절단 규칙). 교육부령→부령.
G0127,위임,교육규칙,5,'정할 수 있다'는 임의규정이나 규율권한 이전은 명확. H열 자동값 '조례'는 오추출.
G0135,위임,부령,4,절단 단편(절단 규칙). 교육부령→부령.
G0136,위임,대통령령,4,절단 단편(절단 규칙).
G0146,위임,부령|교육규칙,5,'교육부령 또는 시·도의 교육규칙' 병기. H열은 '부령'만 추출해 교육규칙이 누락됨.
G0148,위임,조례,5,H열 자동값 '고시'는 '검정고시'의 부분문자열 오탐. 문언은 시·도 조례.
G0149,인용,해당없음,3,'고시한다'는 법형식으로서의 고시 위임이 아니라 개별 학교법인 지정의 공시행위 — 규범 제정이 아니므로 인용(경계 규칙). 표지어 '고시'만 보면 위임|고시로 갈릴 소지 큼.
G0151,위임,조례,5,
G0156,위임,대통령령,5,
G0161,위임,대통령령,4,절단 단편(절단 규칙).
G0166,위임,대통령령,4,절단 단편(절단 규칙).
G0169,위임,조례,3,"문장의 '위임'은 교육장에 대한 행정권한 위임이어서 개별 권한 부여(인용)로 볼 여지가 있으나, '조례로 정하는 바에 따라'가 위임 범위 규율을 조례에 넘기므로 부분위임으로 판정."
G0177,위임,조례,3,G0169와 동일 문장.
G0182,위임,대통령령,5,
G0187,위임,대통령령,4,절단 단편(절단 규칙).
G0188,위임,조례,3,"국립학교는 '학칙으로', 공립학교는 '조례로' 병기인데 학칙은 L2 아홉 개 값에 없음(코드북 공백). 조례만 기재했으며 병기 표기 여부는 조정 필요."
G0191,위임,조례,4,본문은 별표 1 인용이고 단서에서 조례에 완화·강화 기준을 위임하는 구조. 본문 기준으로는 인용으로 갈릴 여지 있음.
G0192,위임,조례,5,
G0196,위임,대통령령,5,
G0197,위임,대통령령,4,절단 단편(절단 규칙).
G0200,위임,대통령령,5,
